"","ms_sub_class","ms_zoning","lot_frontage","lot_area","street","alley","lot_shape","land_contour","utilities","lot_config","land_slope","neighborhood","condition1","condition2","bldg_type","house_style","overall_qual","overall_cond","year_built","year_remod_add","roof_style","roof_matl","exterior1st","exterior2nd","mas_vnr_type","mas_vnr_area","exter_qual","exter_cond","foundation","bsmt_qual","bsmt_cond","bsmt_exposure","bsmt_fin_type1","bsmt_fin_sf1","bsmt_fin_type2","bsmt_fin_sf2","bsmt_unf_sf","total_bsmt_sf","heating","heating_qc","central_air","electrical","x1st_flr_sf","x2nd_flr_sf","low_qual_fin_sf","gr_liv_area","bsmt_full_bath","bsmt_half_bath","full_bath","half_bath","bedroom_abv_gr","kitchen_abv_gr","kitchen_qual","tot_rms_abv_grd","functional","fireplaces","fireplace_qu","garage_type","garage_yr_blt","garage_finish","garage_cars","garage_area","garage_qual","garage_cond","paved_drive","wood_deck_sf","open_porch_sf","enclosed_porch","x3ssn_porch","screen_porch","pool_area","pool_qc","fence","misc_feature","misc_val","mo_sold","yr_sold","sale_type","sale_condition","sale_price"
"11",20,4,70,11200,2,"0",4,4,1,5,1,19,3,3,1,3,5,5,1965,1965,4,2,7,7,4,0,4,5,2,5,5,5,6,906,7,0,134,1040,2,1,2,6,1040,0,0,1040,1,0,1,0,3,1,4,5,7,0,1,7,1965,4,1,384,6,6,3,0,0,0,0,0,0,1,1,1,0,2,2008,9,5,129500
"12",60,4,85,11924,2,"0",1,4,1,5,1,16,3,3,1,6,9,5,2005,2006,4,2,15,16,5,286,1,5,3,2,5,5,4,998,7,0,177,1175,2,1,2,6,1182,1142,0,2324,1,0,3,0,4,1,1,11,7,2,4,5,2005,2,3,736,6,6,3,147,21,0,0,0,0,1,1,1,0,7,2006,7,6,345000
"13",20,4,0,12968,2,"0",2,4,1,5,1,19,3,3,1,3,5,6,1962,1962,4,2,7,11,4,0,4,5,2,5,5,5,2,737,7,0,175,912,2,5,2,6,912,0,0,912,1,0,1,0,2,1,4,4,7,0,1,7,1962,4,1,352,6,6,3,140,0,0,0,176,0,1,1,1,0,9,2008,9,5,144000
"14",20,4,91,10652,2,"0",1,4,1,5,1,6,3,3,1,3,7,5,2006,2007,2,2,13,14,5,306,3,5,3,4,5,2,7,0,7,0,1494,1494,2,1,2,6,1494,0,0,1494,0,0,2,0,3,1,3,7,7,1,4,3,2006,3,3,840,6,6,3,160,33,0,0,0,0,1,1,1,0,8,2007,7,6,279500
"15",20,4,0,10920,2,"0",1,4,1,1,1,13,3,3,1,3,6,5,1960,1960,4,2,9,9,3,212,4,5,2,5,5,5,3,733,7,0,520,1253,2,5,2,6,1253,0,0,1253,1,0,1,1,2,1,4,5,7,1,3,3,1960,3,1,352,6,6,3,0,213,176,0,0,0,1,3,1,0,5,2008,9,5,157000
"16",45,5,51,6120,2,"0",4,4,1,1,1,4,3,3,1,2,7,8,1929,2001,2,2,14,15,4,0,4,5,1,5,5,5,7,0,7,0,832,832,2,1,2,2,854,0,0,854,0,0,1,0,2,1,4,5,7,0,1,7,1991,4,2,576,6,6,3,48,112,0,0,0,0,1,2,1,0,7,2007,9,5,132000
"17",20,4,0,11241,2,"0",1,4,1,2,1,13,3,3,1,3,6,7,1970,1970,2,2,14,15,3,180,4,5,2,5,5,5,2,578,7,0,426,1004,2,1,2,6,1004,0,0,1004,1,0,1,0,2,1,4,5,7,1,6,3,1970,2,2,480,6,6,3,0,0,0,0,0,0,1,1,4,700,3,2010,9,5,149000
"18",90,4,72,10791,2,"0",4,4,1,5,1,19,3,3,3,3,4,5,1967,1967,2,2,9,9,4,0,4,5,4,1,1,1,1,0,1,0,0,0,2,5,2,6,1296,0,0,1296,0,0,2,0,2,2,4,6,7,0,1,6,1967,4,2,516,6,6,3,0,0,0,0,0,0,1,1,4,500,10,2006,9,5,90000
"19",20,4,66,13695,2,"0",4,4,1,5,1,20,6,3,1,3,5,5,2004,2004,2,2,13,14,4,0,4,5,3,5,5,5,4,646,7,0,468,1114,2,1,2,6,1114,0,0,1114,1,0,1,1,3,1,3,6,7,0,1,7,2004,4,2,576,6,6,3,0,102,0,0,0,0,1,1,1,0,6,2008,9,5,159000
"20",20,4,70,7560,2,"0",4,4,1,5,1,13,3,3,1,3,5,6,1958,1965,4,2,4,11,4,0,4,5,2,5,5,5,5,504,7,0,525,1029,2,5,2,6,1339,0,0,1339,0,0,1,0,3,1,4,6,3,0,1,3,1958,4,1,294,6,6,3,0,0,0,0,0,0,1,4,1,0,5,2009,1,1,139000
"21",60,4,101,14215,2,"0",1,4,1,1,1,16,3,3,1,6,8,5,2005,2006,2,2,13,14,3,380,3,5,3,2,5,2,7,0,7,0,1158,1158,2,1,2,6,1158,1218,0,2376,0,0,3,1,4,1,3,9,7,1,4,5,2005,3,3,853,6,6,3,240,154,0,0,0,0,1,1,1,0,11,2006,7,6,325300
"22",45,5,57,7449,2,"Grvl",4,1,1,5,1,10,3,3,1,2,7,7,1930,1950,2,2,14,15,4,0,4,5,3,5,5,5,7,0,7,0,637,637,2,1,2,3,1108,0,0,1108,0,0,1,0,3,1,3,6,7,1,4,3,1930,4,1,280,6,6,1,0,0,205,0,0,0,1,2,1,0,6,2007,9,5,139400
"23",20,4,75,9742,2,"0",4,4,1,5,1,6,3,3,1,3,8,5,2002,2002,4,2,13,14,3,281,3,5,3,4,5,5,7,0,7,0,1777,1777,2,1,2,6,1795,0,0,1795,0,0,2,0,3,1,3,7,7,1,4,3,2002,3,2,534,6,6,3,171,159,0,0,0,0,1,1,1,0,9,2008,9,5,230000
"24",120,5,44,4224,2,"0",4,4,1,5,1,11,3,3,5,3,5,7,1976,1976,2,2,6,6,4,0,4,5,3,4,5,5,4,840,7,0,200,1040,2,5,2,6,1060,0,0,1060,1,0,1,0,3,1,4,6,7,1,6,3,1976,4,2,572,6,6,3,100,110,0,0,0,0,1,1,1,0,6,2007,9,5,129900
"25",20,4,0,8246,2,"0",1,4,1,5,1,19,3,3,1,3,5,8,1968,2001,2,2,10,11,4,0,4,3,2,5,5,4,6,188,2,668,204,1060,2,1,2,6,1060,0,0,1060,1,0,1,0,3,1,3,6,7,1,6,3,1968,4,1,270,6,6,3,406,90,0,0,0,0,1,4,1,0,5,2010,9,5,154000
"26",20,4,110,14230,2,"0",4,4,1,1,1,16,3,3,1,3,8,5,2007,2007,2,2,13,14,5,640,3,5,3,4,5,5,7,0,7,0,1566,1566,2,1,2,6,1600,0,0,1600,0,0,2,0,3,1,3,7,7,1,4,3,2007,3,3,890,6,6,3,0,56,0,0,0,0,1,1,1,0,7,2009,9,5,256300
"27",20,4,60,7200,2,"0",4,4,1,1,1,13,3,3,1,3,5,7,1951,2000,2,2,14,15,4,0,4,5,2,5,5,4,3,234,6,486,180,900,2,5,2,6,900,0,0,900,0,1,1,0,3,1,3,5,7,0,1,7,2005,4,2,576,6,6,3,222,32,0,0,0,0,1,1,1,0,5,2010,9,5,134800
"28",20,4,98,11478,2,"0",4,4,1,5,1,16,3,3,1,3,8,5,2007,2008,2,2,13,14,5,200,3,5,3,2,5,5,4,1218,7,0,486,1704,2,1,2,6,1704,0,0,1704,1,0,2,0,3,1,3,7,7,1,4,3,2008,3,3,772,6,6,3,0,50,0,0,0,0,1,1,1,0,5,2010,9,5,306000
"29",20,4,47,16321,2,"0",1,4,1,2,1,13,3,3,1,3,5,6,1957,1997,2,2,9,9,4,0,4,5,2,5,5,3,3,1277,7,0,207,1484,2,5,2,6,1600,0,0,1600,1,0,1,0,2,1,4,6,7,2,4,3,1957,3,1,319,6,6,3,288,258,0,0,0,0,1,1,1,0,12,2006,9,5,207500
"30",30,5,60,6324,2,"0",1,4,1,5,1,4,2,8,1,3,4,6,1927,1950,2,2,9,9,4,0,4,5,1,5,5,5,7,0,7,0,520,520,2,2,1,6,520,0,0,520,0,0,1,0,1,1,2,4,7,0,1,7,1920,4,1,240,3,6,3,49,0,87,0,0,0,1,1,1,0,5,2008,9,5,68500
"31",70,1,50,8500,2,"Pave",4,4,1,5,1,10,2,3,1,6,4,4,1920,1950,3,2,4,4,4,0,4,2,1,5,5,5,7,0,7,0,649,649,2,5,1,6,649,668,0,1317,0,0,1,0,3,1,4,6,7,0,1,7,1920,4,1,250,6,3,1,0,54,172,0,0,0,1,4,1,0,7,2008,9,5,40000
"32",20,4,0,8544,2,"0",1,4,1,2,1,19,3,3,1,3,5,6,1966,2006,2,2,7,7,4,0,4,5,2,5,5,5,7,0,7,0,1228,1228,2,3,2,6,1228,0,0,1228,0,0,1,1,3,1,3,6,7,0,1,3,1966,4,1,271,6,6,3,0,65,0,0,0,0,1,4,1,0,6,2008,9,5,149350
"33",20,4,85,11049,2,"0",4,4,1,1,1,6,3,3,1,3,8,5,2007,2007,2,2,13,14,4,0,3,5,3,2,5,2,7,0,7,0,1234,1234,2,1,2,6,1234,0,0,1234,0,0,2,0,3,1,3,7,7,0,1,3,2007,3,2,484,6,6,3,0,30,0,0,0,0,1,1,1,0,1,2008,9,5,179900
"34",20,4,70,10552,2,"0",1,4,1,5,1,13,3,3,1,3,5,5,1959,1959,4,2,4,4,4,0,4,5,2,5,5,5,6,1018,7,0,380,1398,2,3,2,6,1700,0,0,1700,0,1,1,1,4,1,3,6,7,1,4,3,1959,3,2,447,6,6,3,0,38,0,0,0,0,1,1,1,0,4,2010,9,5,165500
"35",120,4,60,7313,2,"0",4,4,1,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,3,246,1,5,3,2,5,5,4,1153,7,0,408,1561,2,1,2,6,1561,0,0,1561,1,0,2,0,2,1,1,6,7,1,4,3,2005,2,2,556,6,6,3,203,47,0,0,0,0,1,1,1,0,8,2007,9,5,277500
"36",60,4,108,13418,2,"0",4,4,1,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,5,132,3,5,3,2,5,2,7,0,7,0,1117,1117,2,1,2,6,1132,1320,0,2452,0,0,3,1,4,1,3,9,7,1,4,5,2004,2,3,691,6,6,3,113,32,0,0,0,0,1,1,1,0,9,2006,9,5,309000
"37",20,4,112,10859,2,"0",4,4,1,1,1,6,3,3,1,3,5,5,1994,1995,2,2,13,14,4,0,4,5,3,4,5,5,7,0,7,0,1097,1097,2,1,2,6,1097,0,0,1097,0,0,1,1,3,1,4,6,7,0,1,3,1995,4,2,672,6,6,3,392,64,0,0,0,0,1,1,1,0,6,2009,9,5,145000
"38",20,4,74,8532,2,"0",4,4,1,5,1,13,3,3,1,3,5,6,1954,1990,4,2,14,15,3,650,4,5,2,5,5,5,6,1213,7,0,84,1297,2,3,2,6,1297,0,0,1297,0,1,1,0,3,1,4,5,7,1,6,3,1954,2,2,498,6,6,3,0,0,0,0,0,0,1,1,1,0,10,2009,9,5,153000
"39",20,4,68,7922,2,"0",4,4,1,5,1,13,3,3,1,3,5,7,1953,2007,2,2,13,14,4,0,4,3,2,5,5,5,4,731,7,0,326,1057,2,5,2,6,1057,0,0,1057,1,0,1,0,3,1,3,5,7,0,1,7,1953,4,1,246,6,6,3,0,52,0,0,0,0,1,1,1,0,1,2010,9,1,109000
"40",90,4,65,6040,2,"0",4,4,1,5,1,8,3,3,3,3,4,5,1955,1955,2,2,1,11,4,0,4,5,3,1,1,1,1,0,1,0,0,0,2,5,1,4,1152,0,0,1152,0,0,2,0,2,2,2,6,7,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,6,2008,9,2,82000
"41",20,4,84,8658,2,"0",4,4,1,5,1,13,3,3,1,3,6,5,1965,1965,2,2,14,15,3,101,4,5,2,5,5,5,6,643,7,0,445,1088,2,1,2,6,1324,0,0,1324,0,0,2,0,3,1,4,6,7,1,6,3,1965,3,2,440,6,6,3,0,138,0,0,0,0,1,3,1,0,12,2006,9,1,160000
"42",20,4,115,16905,2,"0",4,4,1,5,1,24,3,3,1,3,5,6,1959,1959,2,2,13,14,4,0,4,3,2,5,5,3,3,967,7,0,383,1350,2,3,2,6,1328,0,0,1328,0,1,1,1,2,1,4,5,7,2,4,3,1959,3,1,308,6,6,2,0,104,0,0,0,0,1,1,1,0,7,2007,9,5,170000
"43",85,4,0,9180,2,"0",1,4,1,2,1,20,3,3,1,7,5,7,1983,1983,2,2,7,7,4,0,4,5,2,4,5,2,2,747,5,93,0,840,2,3,2,6,884,0,0,884,1,0,1,0,2,1,3,5,7,0,1,3,1983,3,2,504,6,4,3,240,0,0,0,0,0,1,4,1,0,12,2007,9,5,144000
"44",20,4,0,9200,2,"0",1,4,1,2,1,6,3,3,1,3,5,6,1975,1980,4,2,13,14,4,0,4,5,2,4,5,2,5,280,3,491,167,938,2,5,2,6,938,0,0,938,1,0,1,0,3,1,4,5,7,0,1,7,1977,4,1,308,6,6,3,145,0,0,0,0,0,1,4,1,0,7,2008,9,5,130250
"45",20,4,70,7945,2,"0",4,4,1,5,1,13,3,3,1,3,5,6,1959,1959,2,2,4,15,4,0,4,5,2,5,5,5,2,179,3,506,465,1150,2,1,2,2,1150,0,0,1150,1,0,1,0,3,1,4,6,7,0,1,3,1959,3,1,300,6,6,3,0,0,0,0,0,0,1,1,1,0,5,2006,9,5,141000
"46",120,4,61,7658,2,"0",4,4,1,5,1,16,3,3,5,3,9,5,2005,2005,4,2,9,9,3,412,1,5,3,2,5,5,4,456,7,0,1296,1752,2,1,2,6,1752,0,0,1752,1,0,2,0,2,1,1,6,7,1,4,3,2005,3,2,576,6,6,3,196,82,0,0,0,0,1,1,1,0,2,2010,9,5,319900
"47",50,4,48,12822,2,"0",1,4,1,2,1,12,3,3,1,1,7,5,2003,2003,2,2,13,14,4,0,3,5,3,2,5,5,4,1351,7,0,83,1434,2,1,2,6,1518,631,0,2149,1,0,1,1,1,1,3,6,7,1,2,3,2003,3,2,670,6,6,3,168,43,0,0,198,0,1,1,1,0,8,2009,9,1,239686
"48",20,2,84,11096,2,"0",4,4,1,5,1,21,3,3,1,3,8,5,2006,2006,2,2,13,14,4,0,3,5,3,4,5,2,4,24,7,0,1632,1656,2,1,2,6,1656,0,0,1656,0,0,2,0,3,1,3,7,7,0,1,3,2006,3,3,826,6,6,3,0,146,0,0,0,0,1,1,1,0,7,2007,9,5,249700
"49",190,5,33,4456,2,"0",4,4,1,5,1,18,3,3,2,6,4,5,1920,2008,2,2,9,9,4,0,4,5,1,5,5,5,7,0,7,0,736,736,2,3,2,6,736,716,0,1452,0,0,2,0,2,3,4,8,7,0,1,1,0,1,0,0,1,1,1,0,0,102,0,0,0,1,1,1,0,6,2009,7,6,113000
"50",20,4,66,7742,2,"0",4,4,1,5,1,19,3,3,1,3,5,7,1966,1966,2,2,7,7,4,0,4,5,2,5,5,5,3,763,7,0,192,955,2,1,2,6,955,0,0,955,1,0,1,0,3,1,4,6,7,0,1,3,1966,4,1,386,6,6,3,0,0,0,0,0,0,1,4,1,0,1,2007,9,5,127000
"51",60,4,0,13869,2,"0",2,4,1,1,1,9,3,3,1,6,6,6,1997,1997,2,2,13,14,4,0,4,5,3,4,5,2,4,182,7,0,612,794,2,3,2,6,794,676,0,1470,0,1,2,0,3,1,4,6,7,0,1,3,1997,2,2,388,6,6,3,0,75,0,0,0,0,1,1,1,0,7,2007,9,5,177000
"52",50,5,52,6240,2,"0",4,4,1,5,1,4,3,3,1,1,6,6,1934,1950,2,2,14,15,4,0,4,5,3,5,5,5,7,0,7,0,816,816,2,5,2,6,816,0,360,1176,0,0,1,0,3,1,4,6,7,1,4,7,1985,4,2,528,6,6,3,112,0,0,0,0,0,1,4,4,400,9,2006,9,5,114500
"53",90,5,110,8472,1,"0",2,1,1,1,2,10,9,3,3,3,5,5,1963,1963,2,2,14,15,4,0,2,5,2,4,5,3,5,104,4,712,0,816,2,5,1,6,816,0,0,816,1,0,1,0,2,1,4,5,7,0,1,6,1963,4,2,516,6,6,3,106,0,0,0,0,0,1,1,1,0,5,2010,9,5,110000
"54",20,4,68,50271,2,"0",1,3,1,5,1,25,3,3,1,3,9,5,1981,1987,2,8,15,16,4,0,3,5,2,2,5,3,4,1810,7,0,32,1842,2,3,2,6,1842,0,0,1842,2,0,0,1,0,1,3,5,7,1,4,3,1981,2,3,894,6,6,3,857,72,0,0,0,0,1,1,1,0,11,2006,9,5,385000
"55",80,4,60,7134,2,"0",4,1,1,5,2,13,3,3,1,8,5,5,1955,1955,2,2,9,9,4,0,4,5,2,5,5,5,2,384,7,0,0,384,2,5,2,6,1360,0,0,1360,0,0,1,0,3,1,4,6,3,1,6,7,1962,4,2,572,6,6,3,0,50,0,0,0,0,1,4,1,0,2,2007,9,5,130000
"56",20,4,100,10175,2,"0",1,4,1,5,1,13,3,3,1,3,6,5,1964,1964,2,2,7,11,3,272,4,5,2,5,5,5,3,490,7,0,935,1425,2,3,2,6,1425,0,0,1425,0,0,2,0,3,1,4,7,7,1,4,3,1964,3,2,576,6,6,3,0,0,0,407,0,0,1,1,1,0,7,2008,9,5,180500
"57",160,2,24,2645,2,"Pave",4,4,1,5,1,21,3,3,4,6,8,5,1999,2000,2,2,9,9,3,456,3,5,3,4,5,5,4,649,7,0,321,970,2,1,2,6,983,756,0,1739,1,0,2,1,3,1,3,7,7,0,1,3,1999,2,2,480,6,6,3,115,0,0,0,0,0,1,1,1,0,8,2009,9,1,172500
"58",60,4,89,11645,2,"0",1,4,1,1,1,6,3,3,1,6,7,5,2004,2004,2,2,13,14,4,0,3,5,3,4,5,5,7,0,7,0,860,860,2,1,2,6,860,860,0,1720,0,0,2,1,3,1,3,7,7,0,1,3,2004,3,2,565,6,6,3,0,70,0,0,0,0,1,1,1,0,8,2006,9,5,196500
"59",60,4,66,13682,2,"0",2,2,1,2,1,22,3,3,1,6,10,5,2006,2006,4,2,13,14,3,1031,1,5,3,2,5,3,7,0,7,0,1410,1410,2,1,2,6,1426,1519,0,2945,0,0,3,1,3,1,3,10,7,1,4,5,2006,2,3,641,6,6,3,192,0,37,0,0,0,1,1,1,0,10,2006,7,6,438780
"60",20,4,60,7200,2,"0",4,1,1,5,1,6,3,3,1,3,5,7,1972,1972,2,2,7,7,4,0,4,5,2,5,5,2,2,632,7,0,148,780,2,1,2,6,780,0,0,780,0,0,1,0,2,1,4,4,7,0,1,7,1973,4,1,352,6,6,3,196,0,0,0,0,0,1,4,1,0,1,2008,9,5,124900
"61",20,4,63,13072,2,"0",4,4,1,5,1,20,6,3,1,3,6,5,2004,2004,2,2,13,14,4,0,4,5,3,4,5,5,2,941,7,0,217,1158,2,1,2,6,1158,0,0,1158,1,0,1,1,3,1,3,5,7,0,1,7,2006,4,2,576,6,6,3,0,50,0,0,0,0,1,1,1,0,5,2006,7,6,158000
"62",75,5,60,7200,2,"0",4,4,1,5,1,10,3,3,1,5,5,7,1920,1996,2,2,9,9,4,0,4,5,1,5,2,5,7,0,7,0,530,530,2,5,1,6,581,530,0,1111,0,0,1,0,3,1,2,6,7,0,1,7,1935,4,1,288,6,6,1,0,0,144,0,0,0,1,1,1,0,3,2007,9,5,101000
"63",120,4,44,6442,2,"0",1,4,1,5,1,16,3,3,5,3,8,5,2006,2006,2,2,13,14,5,178,3,5,3,4,3,4,4,24,7,0,1346,1370,2,1,2,6,1370,0,0,1370,0,0,2,0,2,1,3,6,7,1,4,3,2006,3,2,484,6,6,3,120,49,0,0,0,0,1,1,1,0,10,2007,9,5,202500
"64",70,5,50,10300,2,"0",1,1,1,5,1,18,7,2,1,6,7,6,1921,1950,2,2,12,13,4,0,4,5,1,5,5,5,7,0,7,0,576,576,2,3,2,6,902,808,0,1710,0,0,2,0,3,1,4,9,7,0,1,7,1990,4,2,480,6,6,3,12,11,64,0,0,0,1,2,1,0,4,2010,9,5,140000
"65",60,4,0,9375,2,"0",4,4,1,5,1,6,3,3,1,6,7,5,1997,1998,2,2,13,14,3,573,4,5,3,4,5,5,4,739,7,0,318,1057,2,1,2,6,1057,977,0,2034,1,0,2,1,3,1,3,8,7,0,1,3,1998,3,2,645,6,6,3,576,36,0,0,0,0,1,2,1,0,2,2009,9,5,219500
"66",60,4,76,9591,2,"0",4,4,1,5,1,16,3,3,1,6,8,5,2004,2005,2,2,13,14,3,344,3,5,3,2,5,2,7,0,7,0,1143,1143,2,1,2,6,1143,1330,0,2473,0,0,2,1,4,1,3,9,7,1,4,5,2004,3,3,852,6,6,3,192,151,0,0,0,0,1,1,1,0,10,2007,9,5,317000
"67",20,4,0,19900,2,"0",4,4,1,5,1,13,4,3,1,3,7,5,1970,1989,2,2,10,11,3,287,4,5,2,4,5,3,4,912,7,0,1035,1947,2,5,2,6,2207,0,0,2207,1,0,2,0,3,1,4,7,3,1,4,3,1970,3,2,576,6,6,3,301,0,0,0,0,0,1,1,1,0,7,2010,9,5,180000
"68",20,4,72,10665,2,"0",1,4,1,5,1,6,3,3,1,3,7,5,2003,2003,2,2,13,14,3,167,3,5,3,4,5,2,4,1013,7,0,440,1453,2,1,2,6,1479,0,0,1479,1,0,2,0,3,1,3,7,7,0,1,3,2003,3,2,558,6,6,3,144,29,0,0,0,0,1,1,1,0,6,2007,9,5,226000
"69",30,5,47,4608,2,"0",4,4,1,1,1,18,1,3,1,3,4,6,1945,1950,2,2,9,9,4,0,4,3,2,5,5,5,7,0,7,0,747,747,2,5,2,6,747,0,0,747,0,0,1,0,2,1,4,4,7,0,1,3,1945,4,1,220,6,6,3,0,0,0,0,0,0,1,1,1,0,6,2010,9,5,80000
"70",50,4,81,15593,2,"0",4,4,1,1,1,5,3,3,1,1,7,4,1953,1953,2,2,4,1,4,0,3,5,2,5,5,5,3,603,7,0,701,1304,3,5,2,6,1304,983,0,2287,0,0,2,0,3,1,4,7,7,1,6,3,1953,2,2,667,6,6,3,0,21,114,0,0,0,1,1,1,0,7,2006,9,5,225000
"71",20,4,95,13651,2,"0",1,4,1,5,1,13,3,3,1,3,7,6,1973,1973,2,2,10,11,3,1115,4,3,2,4,5,3,2,1880,7,0,343,2223,2,1,2,6,2223,0,0,2223,1,0,2,0,3,1,4,8,7,2,4,3,1973,2,2,516,6,6,3,300,0,0,0,0,0,1,1,1,0,2,2007,9,5,244000
"72",20,4,69,7599,2,"0",4,4,1,1,1,12,3,3,1,3,4,6,1982,2006,2,2,7,11,4,0,4,5,2,5,5,5,2,565,7,0,280,845,2,5,2,6,845,0,0,845,1,0,1,0,2,1,4,4,7,0,1,7,1987,4,2,360,6,6,3,0,0,0,0,0,0,1,1,1,0,6,2007,9,5,129500
"73",60,4,74,10141,2,"0",1,4,1,1,1,9,3,3,1,6,7,5,1998,1998,2,2,13,14,3,40,4,5,3,4,5,5,7,0,7,0,832,832,2,3,2,6,885,833,0,1718,0,0,2,1,3,1,4,7,7,1,6,3,1998,2,2,427,6,6,3,0,94,0,0,291,0,1,1,1,0,12,2009,9,5,185000
"74",20,4,85,10200,2,"0",4,4,1,5,1,13,3,3,1,3,5,7,1954,2003,2,2,14,15,3,104,4,5,2,5,5,5,2,320,3,362,404,1086,2,3,2,6,1086,0,0,1086,1,0,1,0,3,1,4,6,7,0,1,3,1989,4,2,490,6,6,3,0,0,0,0,0,0,1,3,1,0,5,2010,9,5,144900
